brand;model;body;year;mileage;fuel;seller;transmission;city;color;price
suzuki;ertiga-2016-2018;mpv;2018;11,000 KM;gasoline;dealer;maunal;Manila;n/a;668000
toyota;hiace-2015-2018;van;2017;25,000 KM;diesel;dealer;manual;Manila;n/a;1388000
hyundai;grand-starex;minivans;2017;15,000 KM;diesel;dealer;manual;Manila;n/a;898000
hyundai;h-100;minivans;2019;8,000 KM;diesel;dealer;manual;Manila;n/a;1078000
honda;br-v;crossover;2018;10,000 KM;gasoline;dealer;cvt;Manila;n/a;898000
honda;br-v;crossover;2018;13,000 KM;gasoline;dealer;cvt;Manila;n/a;828000
honda;cr-v;suv;2019;8,000 KM;diesel;dealer;automatic;Manila;n/a;1518000
hyundai;tucson;suv;2019;11,000 KM;gasoline;dealer;automatic;Manila;n/a;998000
hyundai;kona;crossover;2019;8,000 KM;gasoline;dealer;automatic;Manila;n/a;938000
mitsubishi;strada;pickup-trucks;2017;28,000 KM;diesel;dealer;automatic;Manila;n/a;898000
hyundai;accent;sedan;2017;10,000 KM;diesel;dealer;automatic;Manila;n/a;568000
toyota;innova;mpv;2018;25,000 KM;diesel;dealer;automatic;Manila;n/a;1178000
toyota;vios;sedan;2019;14,000 KM;gasoline;dealer;automatic;Manila;n/a;668000
ford;everest;suv;2018;17,000 KM;diesel;dealer;automatic;Manila;n/a;1258000
toyota;vios;sedan;2020;40,000 KM;gasoline;dealer;automatic;Manila;n/a;568000
mitsubishi;montero-sport;suv;2018;10,000 KM;diesel;dealer;automatic;Manila;n/a;1298000
toyota;hiace-2015-2018;van;2017;8,000 KM;diesel;dealer;n/a;Cebu City;n/a;1600000
mitsubishi;adventure-1998-2005;mpv;2020;38,000 KM;gasoline;dealer;n/a;Cebu City;n/a;655000
honda;brio;hatchback;2015;24,000 KM;gasoline;dealer;n/a;Manila;n/a;428000
subaru;xv;suv;2017;14,000 KM;gasoline;dealer;automatic;Manila;n/a;968000
chevrolet;trailblazer-2015;suv;2019;18,705 KM;diesel;dealer;automatic;Quezon City;n/a;1198000
mitsubishi;strada-1999-2010;pickup-trucks;2017;35,169 KM;diesel;dealer;automatic;Quezon City;n/a;820000
toyota;innova;mpv;2018;12,512 KM;diesel;dealer;automatic;Quezon City;n/a;945000
hyundai;starex;van;2017;15,000 KM;diesel;dealer;manual;Manila;n/a;798000
chevrolet;colorado-2015;pickup-trucks;2017;22,400 KM;diesel;dealer;manual;Quezon City;n/a;1018000
hyundai;h-100;minivans;2019;14,250 KM;diesel;dealer;manual;Quezon City;n/a;945000
nissan;nv350-urvan;minivans;2020;31,882 KM;diesel;dealer;manual;Quezon City;n/a;940000
mitsubishi;mirage-g4;sedan;2019;8,000 KM;gasoline;dealer;manual;Pasig;Blackish  red;698000
mitsubishi;adventure;mpv;2016;37,000 KM;diesel;dealer;manual;Manila;n/a;558000
mitsubishi;mirage;hatchback;2018;31,223 KM;gasoline;dealer;cvt;Quezon City;n/a;395000
toyota;vios;sedan;2020;11,000 KM;gasoline;dealer;cvt;Manila;n/a;858000
mitsubishi;mirage-g4-2015-2018;sedan;2017;4,000 KM;gasoline;dealer;cvt;Manila;n/a;418000
honda;city-2016;sedan;2016;46,000 KM;gasoline;dealer;cvt;Manila;n/a;618000
mitsubishi;montero-sport-2015;suv;2017;26,000 KM;diesel;dealer;automatic;Manila;n/a;1358000
mitsubishi;adventure;mpv;2017;38,000 KM;gasoline;dealer;automatic;Cebu City;n/a;580000
ford;ecosport;crossover;2016;45,000 KM;gasoline;dealer;automatic;Manila;n/a;618000
honda;brio;hatchback;2015;34,000 KM;gasoline;dealer;automatic;Quezon City;White;418000
toyota;innova-2015-2017;mpv;2017;20,000 KM;diesel;dealer;n/a;Quezon City;n/a;900000
mitsubishi;lancer-2015;sedan;2010;72,000 KM;gasoline;dealer;n/a;Manila;n/a;428000
toyota;innova-2009-2014;mpv;2013;65,000 KM;gasoline;dealer;n/a;Cebu City;n/a;665000
toyota;avanza-2015-2018;mpv;2008;1 KM;gasoline;dealer;maunal;Cebu City;n/a;300000
toyota;fortuner-2015;suv;2017;28,000 KM;diesel;dealer;automatic;Quezon City;n/a;1348000
porsche;n/a;convertible;2018;8,000 KM;gasoline;dealer;automatic;Manila;n/a;5300000
mercedes-benz;glc-class;crossover;2019;4,000 KM;gasoline;dealer;automatic;Manila;n/a;3500000
chevrolet;trailblazer;suv;2019;18,000 KM;diesel;dealer;automatic;Quezon City;n/a;1150000
hyundai;tucson;crossover;2019;4,000 KM;diesel;dealer;automatic;Quezon City;n/a;1100000
ford;everest;suv;2017;8,000 KM;diesel;dealer;automatic;Quezon City;n/a;1598000
mitsubishi;montero-sport;suv;2019;20,000 KM;diesel;dealer;automatic;Quezon City;n/a;1248000
ford;ranger-2016-2018;pickup-trucks;2017;30,000 KM;diesel;dealer;automatic;Quezon City;n/a;1100000
ford;ecosport;crossover;2015;19,000 KM;gasoline;dealer;automatic;Manila;n/a;598000
ford;explorer;suv;2015;30,000 KM;gasoline;dealer;automatic;Quezon City;n/a;1280000
chevrolet;corvette;coupe;2018;3,800 KM;gasoline;dealer;manual;Quezon City;n/a;9780000
mitsubishi;adventure;mpv;2017;23,000 KM;diesel;dealer;manual;Quezon City;n/a;570000
hyundai;starex;van;2017;13,000 KM;diesel;dealer;manual;Quezon City;n/a;880000
toyota;vios-2017-2018;sedan;2020;3,000 KM;gasoline;dealer;manual;Quezon City;n/a;530000
toyota;hiace-2015-2018;van;2016;25,000 KM;diesel;dealer;manual;Muntinlupa;n/a;978800
toyota;hiace-2015-2018;van;2017;39,000 KM;diesel;dealer;manual;Lipa;n/a;958000
mazda;2-hatchback;hatchback;2014;63,000 KM;gasoline;dealer;manual;Cebu City;n/a;330000
honda;city-2016;sedan;2016;28,117 KM;gasoline;dealer;cvt;Quezon City;n/a;535000
nissan;np300-navara;pickup-trucks;2017;29,000 KM;diesel;dealer;maunal;Paranaque;n/a;718000
isuzu;mu-x;suv;2016;30,000 KM;diesel;dealer;automatic;Quezon City;Pearl White;210000
ford;escape;suv;2007;12 KM;gasoline;dealer;automatic;Cebu City;n/a;275000
